Date;Temp;Origine;Site
26/6/1894 00:00:00;20.30;11;19
27/6/1894 00:00:00;20.60;11;19
28/6/1894 00:00:00;20.80;11;19
29/6/1894 00:00:00;21.30;11;19
30/6/1894 00:00:00;21.70;11;19
1/7/1894 00:00:00;21.60;11;19
2/7/1894 00:00:00;22.70;11;19
3/7/1894 00:00:00;22.80;11;19
4/7/1894 00:00:00;22.20;11;19
5/7/1894 00:00:00;22.40;11;19
6/7/1894 00:00:00;23.00;11;19
7/7/1894 00:00:00;23.20;11;19
8/7/1894 00:00:00;22.80;11;19
9/7/1894 00:00:00;22.80;11;19
10/7/1894 00:00:00;22.60;11;19
11/7/1894 00:00:00;21.60;11;19
12/7/1894 00:00:00;20.60;11;19
13/7/1894 00:00:00;20.30;11;19
14/7/1894 00:00:00;20.10;11;19
15/7/1894 00:00:00;19.80;11;19
16/7/1894 00:00:00;20.00;11;19
17/7/1894 00:00:00;20.00;11;19
18/7/1894 00:00:00;19.80;11;19
19/7/1894 00:00:00;19.40;11;19
20/7/1894 00:00:00;19.30;11;19
21/7/1894 00:00:00;19.70;11;19
22/7/1894 00:00:00;20.20;11;19
23/7/1894 00:00:00;21.30;11;19
24/7/1894 00:00:00;20.80;11;19
25/7/1894 00:00:00;21.60;11;19
26/7/1894 00:00:00;21.60;11;19
27/7/1894 00:00:00;21.60;11;19
28/7/1894 00:00:00;21.80;11;19
29/7/1894 00:00:00;22.30;11;19
30/7/1894 00:00:00;21.30;11;19
31/7/1894 00:00:00;20.90;11;19
1/8/1894 00:00:00;20.90;11;19
2/8/1894 00:00:00;20.80;11;19
3/8/1894 00:00:00;20.40;11;19
4/8/1894 00:00:00;19.70;11;19
5/8/1894 00:00:00;19.60;11;19
6/8/1894 00:00:00;20.00;11;19
7/8/1894 00:00:00;20.60;11;19
8/8/1894 00:00:00;20.10;11;19
9/8/1894 00:00:00;19.50;11;19
10/8/1894 00:00:00;19.40;11;19
11/8/1894 00:00:00;19.00;11;19
12/8/1894 00:00:00;18.80;11;19
13/8/1894 00:00:00;18.50;11;19
14/8/1894 00:00:00;18.10;11;19
15/8/1894 00:00:00;18.40;11;19
16/8/1894 00:00:00;18.50;11;19
17/8/1894 00:00:00;18.50;11;19
18/8/1894 00:00:00;18.20;11;19
19/8/1894 00:00:00;17.90;11;19
20/8/1894 00:00:00;17.80;11;19
21/8/1894 00:00:00;17.50;11;19
22/8/1894 00:00:00;17.90;11;19
23/8/1894 00:00:00;18.20;11;19
24/8/1894 00:00:00;18.70;11;19
25/8/1894 00:00:00;19.30;11;19
26/8/1894 00:00:00;19.90;11;19
27/8/1894 00:00:00;20.40;11;19
28/8/1894 00:00:00;20.20;11;19
29/8/1894 00:00:00;20.30;11;19
30/8/1894 00:00:00;20.40;11;19
31/8/1894 00:00:00;20.50;11;19
1/9/1894 00:00:00;21.00;11;19
2/9/1894 00:00:00;21.30;11;19
3/9/1894 00:00:00;21.10;11;19
4/9/1894 00:00:00;20.50;11;19
5/9/1894 00:00:00;19.90;11;19
6/9/1894 00:00:00;19.30;11;19
7/9/1894 00:00:00;18.90;11;19
8/9/1894 00:00:00;18.10;11;19
22/9/1894 00:00:00;16.30;11;19
23/9/1894 00:00:00;16.60;11;19
24/9/1894 00:00:00;15.70;11;19
25/9/1894 00:00:00;17.10;11;19
26/9/1894 00:00:00;16.90;11;19
27/9/1894 00:00:00;16.40;11;19
28/9/1894 00:00:00;15.80;11;19
7/10/1894 00:00:00;13.30;11;19
8/10/1894 00:00:00;13.30;11;19
9/10/1894 00:00:00;13.30;11;19
10/10/1894 00:00:00;13.30;11;19
11/10/1894 00:00:00;13.30;11;19
12/10/1894 00:00:00;13.60;11;19
13/10/1894 00:00:00;12.90;11;19
11/11/1894 00:00:00;11.10;11;19
12/11/1894 00:00:00;10.90;11;19
13/11/1894 00:00:00;10.20;11;19
14/11/1894 00:00:00;9.90;11;19
15/11/1894 00:00:00;9.80;11;19
16/11/1894 00:00:00;9.30;11;19
17/11/1894 00:00:00;9.10;11;19
18/11/1894 00:00:00;9.00;11;19
19/11/1894 00:00:00;8.90;11;19
20/11/1894 00:00:00;8.10;11;19
21/11/1894 00:00:00;8.80;11;19
22/11/1894 00:00:00;8.70;11;19
23/11/1894 00:00:00;8.70;11;19
24/11/1894 00:00:00;8.10;11;19
25/11/1894 00:00:00;7.40;11;19
26/11/1894 00:00:00;6.90;11;19
27/11/1894 00:00:00;6.40;11;19
28/11/1894 00:00:00;6.10;11;19
29/11/1894 00:00:00;5.50;11;19
30/11/1894 00:00:00;5.10;11;19
1/12/1894 00:00:00;4.90;11;19
